FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,AUC,ACC
6,MLP,0.96,0.96,0.95,0.96,0.95,0.91,0.9549019607843137,0.9572192513368984
6,KDA,0.83,0.81,0.83,0.81,0.82,0.66,0.8215686274509804,0.8128342245989305
6,SVM1,0.84,0.79,0.82,0.79,0.79,0.62,0.8058823529411765,0.7914438502673797
6,SVM2,0.95,0.95,0.95,0.95,0.95,0.90,0.9490196078431372,0.9518716577540107
6,GPC,0.96,0.96,0.95,0.96,0.95,0.91,0.9539215686274509,0.9572192513368984
7,RF,0.99,0.99,0.99,0.99,0.99,0.98,0.9893617021276595,0.9893048128342246
7,KNN,0.93,0.93,0.92,0.92,0.92,0.85,0.9248455730954015,0.9251336898395722
7,DTREE,0.96,0.96,0.96,0.96,0.96,0.93,0.9624799816975521,0.9625668449197861
7,GNB,0.92,0.92,0.92,0.92,0.92,0.85,0.9196980096087852,0.9197860962566845
7,LRG,0.97,0.97,0.97,0.97,0.97,0.95,0.973232669869595,0.9732620320855615
7,ABC,0.97,0.97,0.97,0.97,0.97,0.95,0.973232669869595,0.9732620320855615
7,MLP,0.97,0.97,0.97,0.97,0.97,0.95,0.973232669869595,0.9732620320855615
7,KDA,0.84,0.81,0.81,0.80,0.79,0.63,0.806680393502631,0.8074866310160428
7,SVM1,0.86,0.81,0.81,0.81,0.79,0.63,0.8118851521390986,0.8128342245989305
7,SVM2,0.95,0.95,0.95,0.95,0.95,0.91,0.9517844886753605,0.9518716577540107
7,GPC,0.97,0.97,0.97,0.97,0.97,0.95,0.9732898650194464,0.9732620320855615
8,RF,0.97,0.97,0.97,0.97,0.97,0.94,0.9715909090909092,0.9732620320855615
8,KNN,0.93,0.93,0.92,0.93,0.92,0.86,0.9248737373737373,0.9251336898395722
8,DTREE,0.94,0.94,0.94,0.94,0.94,0.88,0.9362373737373738,0.9358288770053476
8,GNB,0.93,0.93,0.93,0.93,0.93,0.86,0.928030303030303,0.93048128342246
8,LRG,0.95,0.95,0.95,0.95,0.95,0.90,0.9507575757575757,0.9518716577540107
8,ABC,0.97,0.97,0.97,0.97,0.97,0.95,0.9722222222222222,0.9732620320855615
8,MLP,0.95,0.95,0.95,0.95,0.95,0.90,0.9507575757575757,0.9518716577540107
8,KDA,0.82,0.81,0.82,0.81,0.81,0.65,0.8118686868686869,0.8074866310160428
8,SVM1,0.84,0.80,0.82,0.79,0.79,0.62,0.8061868686868686,0.7967914438502673
8,SVM2,0.92,0.91,0.91,0.91,0.91,0.83,0.9122474747474747,0.9144385026737968
8,GPC,0.93,0.93,0.92,0.93,0.92,0.85,0.9242424242424243,0.9251336898395722
9,RF,0.97,0.97,0.96,0.97,0.96,0.93,0.9655172413793103,0.9679144385026738
9,KNN,0.93,0.93,0.92,0.92,0.92,0.85,0.9232758620689655,0.9251336898395722
9,DTREE,0.94,0.94,0.94,0.94,0.94,0.88,0.9355172413793101,0.9358288770053476
9,GNB,0.94,0.94,0.93,0.94,0.93,0.87,0.9325287356321839,0.9358288770053476
9,LRG,0.97,0.97,0.96,0.97,0.97,0.93,0.9662643678160919,0.9679144385026738
9,ABC,0.96,0.96,0.95,0.96,0.96,0.91,0.9555172413793103,0.9572192513368984
9,MLP,0.97,0.97,0.96,0.97,0.97,0.93,0.9662643678160919,0.9679144385026738
9,KDA,0.86,0.84,0.85,0.84,0.84,0.70,0.8470114942528736,0.839572192513369
9,SVM1,0.85,0.81,0.83,0.80,0.80,0.64,0.8185057471264366,0.8074866310160428
9,SVM2,0.95,0.95,0.95,0.95,0.95,0.90,0.9497701149425286,0.9518716577540107
9,GPC,0.96,0.96,0.95,0.96,0.95,0.91,0.9547701149425287,0.9572192513368984
