FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,AUC,ACC
0,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9763926278732658,0.9776141384388807
1,RF,0.98,0.98,0.98,0.98,0.98,0.96,0.978029695024077,0.9784977908689249
2,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9769510715729883,0.9776141384388807
3,RF,0.98,0.97,0.97,0.97,0.97,0.95,0.9740501284584797,0.9749631811487481
4,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9769973300472377,0.9780047132757266
5,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9755462016436159,0.9760408483896308
6,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9762347592477785,0.9774155538098979
7,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9766158169409875,0.9771209740769835
8,RF,0.98,0.98,0.98,0.98,0.98,0.95,0.9764267990074442,0.9776119402985075
9,RF,0.98,0.97,0.97,0.97,0.97,0.95,0.9742787976598749,0.9749607227022781
