ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,AUC,ACC
ABC,0.961,0.961,0.9569999999999999,0.961,0.9579999999999999,0.9199999999999999,0.9594424459880425,0.9604448742746614
DTREE,0.9349999999999999,0.9349999999999999,0.9339999999999999,0.9349999999999999,0.9349999999999999,0.874,0.9342048530295484,0.9342672659005574
GNB,0.9229999999999998,0.9199999999999999,0.9179999999999999,0.9199999999999999,0.9179999999999999,0.844,0.9190941402091608,0.9203720559790647
GPC,0.9469999999999998,0.9460000000000001,0.9410000000000001,0.9440000000000002,0.9399999999999998,0.8879999999999999,0.9428649749788731,0.9438758675617249
KDA,0.829,0.812,0.8200000000000001,0.8109999999999999,0.8099999999999999,0.6560000000000001,0.8160512642275268,0.811864262145864
KNN,0.9119999999999999,0.9119999999999999,0.909,0.9099999999999999,0.909,0.8300000000000001,0.9102029323049712,0.9107492319945388
LRG,0.952,0.952,0.9489999999999998,0.952,0.951,0.906,0.9520298748464162,0.9529639321879623
MLP,0.9550000000000001,0.9550000000000001,0.952,0.9550000000000001,0.954,0.9109999999999999,0.9541964782017367,0.9551001251564456
RF,0.967,0.967,0.9629999999999999,0.967,0.9640000000000001,0.9279999999999999,0.9647637382522436,0.9663272272158381
SVM1,0.844,0.8049999999999999,0.818,0.8,0.795,0.632,0.8108729721992838,0.8049123904881101
SVM2,0.9359999999999999,0.9339999999999999,0.933,0.9339999999999999,0.933,0.8720000000000001,0.9337914553148924,0.9353310956877916
